aircraft_type,altitude_bin,number_struck,number_struck_actual,flight_date,engines,origin_state,flight_phase,wildlife_size,conditions_sky,wildlife_species,pilot_warned,altitude,is_high_altitude,flight_year,flight_month,airport_name_clean,latitude,longitude,elevation_ft,nearest_turbine_km,state_abbr,Station_ID,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,is_migration_season,risk_level,risk_target
Airplane,"(1000, 2000]",1,1,2002-10-14,2.0,New York,Approach,Medium,No Cloud,Unknown bird - medium,False,2000,True,2002,10,ALBANY INTL,42.748299,-73.801697,285.0,94.50065050780267,NY,KJFK_New_York,7.8,91.33333333333331,3.233333333333333,14.366666666666667,0.0,1012.9333333333334,1,Low,0
Airplane,"(400, 600]",1,1,2002-10-16,2.0,New York,Approach,Medium,No Cloud,Unknown bird - medium,False,500,True,2002,10,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,15.35,64.0,11.65,15.8,0.0,1007.7,1,Low,0
Airplane,"(600, 1000]",1,1,2002-10-24,2.0,Illinois,Climb,Medium,Some Cloud,Unknown bird - medium,False,1000,False,2002,10,ST LOUIS DOWNTOWN,38.570701599100005,-90.1561965942,413.0,106.7209972741952,IL,KORD_Chicago,12.15,68.0,12.35,10.65,8.4,1011.9,1,Medium,1
Airplane,"(1000, 2000]",1,1,2002-10-30,2.0,New York,Approach,Large,Overcast,Unknown bird - large,True,1700,False,2002,10,LONG ISLAND MAC ARTHUR,40.796324,-73.101703,99.0,292.8807816425768,NY,KJFK_New_York,7.55,67.0,6.7,11.9,0.0,1008.65,1,Low,0
Airplane,"(3000, 5000]",1,1,2002-11-06,2.0,New York,Approach,Medium,Some Cloud,Unknown bird - medium,False,4000,False,2002,11,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,11.3,48.5,10.25,12.15,0.0,1019.45,1,Low,0
Airplane,"(-1, 0]",1,1,2002-11-07,2.0,New York,Take-off run,Medium,No Cloud,Unknown bird - medium,False,0,True,2002,11,LONG ISLAND MAC ARTHUR,40.796324,-73.101703,99.0,292.8807816425768,NY,KJFK_New_York,8.75,79.0,12.45,13.85,0.0,1014.9,1,Medium,1
Airplane,"(-1, 0]",1,1,2002-11-07,1.0,New York,Take-off run,Small,No Cloud,Unknown bird - small,True,0,False,2002,11,LONG ISLAND MAC ARTHUR,40.796324,-73.101703,99.0,292.8807816425768,NY,KJFK_New_York,8.75,79.0,12.45,13.85,0.0,1014.9,1,Medium,1
Airplane,"(1000, 2000]",1,1,2002-11-07,2.0,New York,Approach,Medium,No Cloud,Unknown bird - medium,False,1200,True,2002,11,WESTCHESTER COUNTY ARPT,41.06700134277344,-73.70760345458984,439.0,243.3503200617849,NY,KJFK_New_York,8.75,79.0,12.45,13.85,0.0,1014.9,1,Medium,1
Airplane,"(-1, 0]",1,1,2002-11-13,2.0,New York,Landing Roll,Small,Overcast,Unknown bird - small,True,0,False,2002,11,LONG ISLAND MAC ARTHUR,40.796324,-73.101703,99.0,292.8807816425768,NY,KJFK_New_York,18.200000000000003,59.5,18.9,13.1,0.7,1020.7,1,Medium,1
Airplane,"(1000, 2000]",1,1,2002-11-16,2.0,New York,Climb,Large,Overcast,Unknown bird - large,False,1500,False,2002,11,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,12.866666666666667,74.66666666666667,9.5,10.666666666666666,0.0,1017.9666666666668,1,Low,0
